stableEventId,module,trigger,tickOrState,soundIntent,spatialMode,anchor,socketId,mixerBus,priority,maxConcurrent,cooldownSeconds,soundminerQuery,candidateFiles,editTask,finalResource,acceptanceStatus,sourcePath,sourceLibrary,sourceHash
event.fei.primary.attack.0,FeiWeapon,skill presentation,tick 0,"imaginative arcade shot with a compact energy body and playful mechanical accent",WorldPositioned,OwnerSocket,weapon.primary.muzzle,SFX,40,3,0.04,"game arcade cartoon sci fi magic energy blaster laser zap pulse spark shot short","Alien Game Weapon Zap Gun Shot 1-4 Glitchy SciFi Short Light; recids 6188/6192/6194/6198; all four approved","per-source onset trim; 0.380s total; per-channel DC removal; 2ms fade-in; 10ms fade-out; mono fold-down; normalize peak to -3dBFS","Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Primary_Attack_01..04.wav",BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】外星人游戏类-Alien Game_Epic Stock Media\03-武器_Weapons","Alien Game / Epic Stock Media","90360773c3bdf3b34b80e325831d928bb02755cd398ec44a3f452427ddea66e5;d19bcaad957b66844248e8374c7cfa41f6a487f01a0e529f73da38af7a03cd42;84fccc4a87f41295e48805b53c870b1292cc41b41838c645736f369b8a5cde71;4768ea451e32ae4bf05b41fa3248aa41ee17886c09b1aee6ffba22cd22dba602"
event.fei.primary.hit.base,FeiWeapon,impact bundle,committed hit,"tight designed weapon impact with an immediate synthetic body and a restrained energy spark",WorldPositioned,OwnerRoot,TBD,SFX,55,4,0.03,"designed game arcade weapon projectile impact energy magic arcane electric laser spark zap ricochet short tight","KHRON Arcane Snap recids 2856-2859; all four approved","mono fold-down; per-source onset trim; 0.200s total; 2ms fade-in; 8ms fade-out; normalize peak to -4dBFS","Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Primary_Hit_01..04.wav",BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\神秘瞬发-Arcane Snap","Spells Variations Vol 1 / KHRON","a80feaa6303d58ba88677ca1324c271411b8e5b7d4aa29829aeb5db0d028792e;a9e6f4123ccacf03156307bf050cb6cf5a483b6970e6e66d8d5a9b130619ee60;324fbe61bf98dd4952fec15e0e9c7927ad8d2a45e779e34ae95a49fe0da3d971;313ce070b3bec5bdb253fb1ee16dd23c257544422a1f3a478f78b4397d8572a2"
event.fei.primary.hit.weakpoint,FeiWeapon,impact override,committed weakpoint hit,"reinforced version of the approved base hit with the same short arcane identity and clearly greater impact",WorldPositioned,OwnerRoot,TBD,SFX,35,2,0.08,"derived from approved KHRON Arcane Snap 01-04 base-hit masters","SFX_Fei_Primary_Weakpoint_01..04.wav","layer each approved base hit with its own -4 semitone copy at -8dB and 2ms delay; +3dB transient contour over 55ms; 1.4 soft saturation; 0.200s mono; normalize peak to -3dBFS","Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Primary_Weakpoint_01..04.wav",BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\SFX_Fei_Primary_Hit_01..04.wav,"Derived from Spells Variations Vol 1 / KHRON","1c8700a16fd74f1728ae0f242f265c45fa3316c581314252d0108fef143487db;8282d046488cf1ac37550eb74a7806a229b313a5cf8a2d85e8dca2b19ffe14e1;cb4efa842cd33c9c142ab581f1f283b851924dcedd204f442506da15c78f28b8;4247a8cb39d3325a5b1a464b53ce9adabf918ccedb3c697ccdc57f3a811c2fd3"
event.fei.primary.hit.environment,FeiWeapon,impact bundle,committed environment hit,"short dry magical-electric environmental impact that stays less rewarding than an enemy hit",WorldPositioned,OwnerRoot,,SFX,90,3,0.03,"game arcade cartoon designed magic energy electric spark projectile impact hit short dry","KHRON Electrified Impact recids 2847/2843/2844/2849; four sibling previews","per-source onset trim 0.065/0.080/0.140/0.145s; 0.220s total; per-channel DC removal; 2ms fade-in; 8ms fade-out; mono fold-down; normalize peak to -5dBFS","Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Primary_EnvironmentHit_01..04.wav",BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\电击冲击-Electrified Impact","Spells Variations Vol 1 / KHRON","f77dd26c36f43a99e7826334741c01fc447c828ba5702a7dec566b6568fa9e32;0e9531e393d6d7f486aa1c037d5b1a7a2b5f0db9f979e35db8a6b17056aa0315;12add83da675451a0d1bce25408e184e85f3530f1ceb22895b4c889d56da5cec;14c7a311386d3888d52e138e90fda841275239e2e3e9ad44082e8ae8a8774114"
event.burstbug.fast.telegraph,Burstbug,warning start,telegraph start,"stylized arcade threat chirp with an insect-like synthetic identity",WorldPositioned,OwnerSocket,attack.origin,SFX,60,1,0.20,"game arcade sci fi electronic warning chirp charge alert insect short","BOOM Signal Warning Fast 01-03 recids 19931-19933 plus restrained insect foley recid 4342","three sibling warning signals; layer distinct 0.32s insect-click windows at -14dB; per-channel DC removal; mono fold-down; 2ms fade-in; 6ms fade-out; normalize peak to -4dBFS","Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Fast_Telegraph_01..03.wav",BoundAndValidated,"F:\Audio\BOOM LIBRARY\FX65-未来科幻界面-Future Technology_Boom Library;F:\Audio\BOOM LIBRARY\FX25-怪兽行动拟音-Creature Foley_Boom Library","Future Technology + Creature Foley Construction Kit / BOOM","7609d238d20bc93e3cb52926edefee0904d26eb82368e278fd1a1328884b3c6f;4861d2b1e2dc66a30b4f36bdd779d53fa2e8991c8abe280ff3940a182e1f0c93;c84a776385d30415c02148899daa8fe064e98780d8ac72d01c4957833c6e85aa;98c711830fbcfce666a3d95bab8cdffbbc224e7e6b126be5a1d9cac62c25c32c"
event.burstbug.fast.release,Burstbug,warning end,release commit,"compact release snap with forward energy",WorldPositioned,OwnerSocket,attack.origin,SFX,50,1,0.10,"game magic energy projectile release snap fast whoosh","KHRON Rapid Air Slash recids 2732/2733/2734/2731; four sibling previews","trim each sibling around its main forward-energy peak; 0.195-0.220s; per-channel DC removal; mono fold-down; 2ms fade-in; 8ms fade-out; normalize peak to -5dBFS","Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Fast_Release_01..04.wav",BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\快速空气斩击-Rapid Air Slash","Spells Variations Vol 1 / KHRON","e232a304f0495c3a824fdbfd9c2eb1724dde01e4b67103a4cace55a3124eb006;0ae289035d823cf16ed53508d31a84fb301195a045a8772cf63df676a9d59b29;3437a8b8937669f08152e85b90c402925740a1d7d3bf6fa62d7ae3666347e802;adb048cdea493cba5baccec5f66fa7adec883410e0a4edcb262bbab742fde620"
event.burstbug.fast.projectile,Burstbug,skill presentation,projectile spawn,"subtle projectile flight cue that does not duplicate release",WorldPositioned,OwnerRoot,,SFX,95,2,0.08,"small magic energy projectile flyby dart subtle whoosh","KHRON Arcane Mini Whoosh recids 2684/2688/2681/2689; four sibling previews","retain 0.550s motion envelope; per-channel DC removal; mono fold-down; 2ms fade-in; 20ms fade-out; normalize peak to -10dBFS so release and hit remain dominant","Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Fast_Projectile_01..04.wav",BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\奥术迷你呼啸-Arcane mini Whoosh","Spells Variations Vol 1 / KHRON","1d25edee92b2f2863c94ca25a21768b18884cd7a7454994addcbf7daf5a72d38;97bdaf52f9c866a92681f689f1a09a886ad7c9c5ce26c334c0997dd5f27b82f2;c800b9b41415fb7521c08299745a2328b8e524b4bf0beb8b2852daa50de721bd;49dff756454dd0b58e6a6ed4f901a996ba757999991c39184623c49aaec2aece"
event.burstbug.fast.hit,Burstbug,impact presentation,committed player hit,"compact arcade impact with a needle transient and a small magic explosion; identifies Burstbug contact without replacing global player-damage feedback",WorldPositioned,OwnerRoot,TBD,SFX,20,1,0.15,"magic spell impact sharp piercing burst missile dart explosion sci-fi game hit short","KHRON Bloodlight Pierce recids 2506/2494/2498/2493/2504/2492 + Little Arcane Blast recids 2697/2693/2700/2694/2696/2692; all six approved","layer each Bloodlight Pierce sibling as a -3dB needle transient with a delayed Little Arcane Blast sibling at 0dB (+1dB for variant 04); 0.360s total; mono fold-down; 1ms fade-in; 12ms fade-out; 1.5dB transient contour over 45ms; 1.05 soft saturation; normalize peak to -5.5dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Fast_Hit_01..06.wav,BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第二辑-Spells Variations Vol 1_Khron Studio\血光穿刺-Bloodlight Pierce;F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\小奥术冲击-Little Arcane Blast","Spells Variations Vol 2 + Spells Variations Vol 1 / KHRON","f64ad1177a0e5be68f73152419a28e440b20d81e4208e34b2aaa7e5c97d67be4;2922d54306469f80ccbd853979fcdc040a409ae5d2f59a50d056cdbbef03bb79;5c7209616244cb2b92b1f6fba01443c2d64bb4f7e59de8adca94f5590f73af92;c1acce3d0b6c3ad73048d9a668da2cd4c06b901be40014f95d5e197bc46b3b9d;160cc1a8bb69d16c1c6457d9f64e316b50563916fc96835c88aaf20d9630c989;6eba9b62ee29676bd364f7f7e6af02e6b2dafc06b386afee730d38dcfb1cf380;b40a881ecfc8a6a82c809c9e09979dd9aefd165e1537e75726c1188a58ae2e96;59166f3359d34998d1a63b9fc2e1791bc01ece998723fe52408e44aae7a3bef7;ae6aa3aa6efad9365bd9e6d775908834e29b041a5c888b213f13ffa560536c4d;63c09140bc436ee07cecf0e37f95bff2862753eb487720ff1c636b83ed568441;149d801b45789feb83a842268edcf93ae55d3603e88d1e80567048fed8c2088e;78cdb937618e729e89226cda7c6529e814ef43ba0846d4ae2e28f1e22cbffd81"
event.combat.player.damaged,GlobalCombat,combat trace,damage committed,"short game-style player damage feedback that remains distinct from attacker impact",WorldPositioned,OwnerRoot,player.body,SFX,20,1,0.15,"game female character damage reaction short vocal or stylized hurt cue","BOOM Close Combat female soft closed-mouth recid 6831; candidate 1 selected; previous impact/male/KHRON pain candidates excluded","repair malformed source tail into read-only hash-addressed working copy; isolate one 0.44s take; mono fold-down; 48kHz/24-bit; 1ms fade-in; 12ms fade-out; normalize peak to -8dBFS",Assets/FPGDemo/Audio/Forest/SFX/VO_Fei_Damaged_01.wav,BoundAndValidated,"F:\Audio\BOOM LIBRARY\FX34-近战格斗音效-Close Combat_Boom Library\设计的声音-Designed\09-战吼人声-Voice","Close Combat / BOOM Library","66929c8b30f08b07325048d54999bd228713ef1afc14550f0badd76dc8cd728f"
event.combat.player.barrier_broken,GlobalCombat,combat trace,barrier break,"crisp break/shatter cue with controlled high end",TwoDimensional,OwnerRoot,TBD,SFX,15,1,0.25,"game arcade sci fi energy barrier shield break shatter drop whoosh sweep","Metroidvania Energy Shield Break 01-03; recids 22019/22020/22018; three approved sibling previews","repair malformed source tails into read-only-hash-addressed working copies; onset trim 170/230/280ms; mono fold-down; 48kHz/24-bit; 650ms; 2ms fade-in; 20ms fade-out; normalize peak to -3dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Player_BarrierBreak_01..03.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】横轴动作游戏类-Metroidvania Game SFX_Epic Stock Media\12-效果-Effect","Metroidvania Game SFX / Epic Stock Media","adabc55aa614d879e3052c6eb3e7963145348a0267b4bc9feaec4639bf25ad88;c898a10b22a212cfeede7b82e4a87656e0ef483dc49199451b450e3898322daa;40a01b4e2dfcddeba6e65be90e023f8309647c23da25176c7758481f6e47b845"
